xy...2. sat X0
6 106 0
5.07253269916766 105.072532699168 0
4.14506539833532 104.145065398335 0
3.21759809750297 103.217598097503 0
2.29013079667063 102.290130796671 0
-1.19893899204244 98.8010610079576 0
-5.85411140583555 94.1458885941644 0
-7.19496021220159 92.8050397877984 0
-7.45358090185676 92.5464190981432 0
-6.86339522546419 93.1366047745358 0
-6.08753315649867 93.9124668435013 0
-7.49137931034483 92.5086206896552 0
-9.17241379310345 90.8275862068966 0
-10.5689655172414 89.4310344827586 0
-11.6896551724138 88.3103448275862 0
-11.115987460815 88.884012539185 0
-10.7816091954023 89.2183908045977 0
-16.5862068965517 83.4137931034483 0
-20.6206896551724 79.3793103448276 0
-10.6206896551724 89.3793103448276 0
-16.1222570532915 83.8777429467085 0
-17.8546798029557 82.1453201970443 0
-15.4532019704434 84.5467980295566 0
-13.1149425287356 86.8850574712644 0
-10.8735632183908 89.1264367816092 0
-20.586206896552 79.413793103448 0
-16.2257053291536 83.7742946708464 0
-4.20689655172414 95.7931034482759 0
-5.10344827586207 94.8965517241379 0
-6 94 0
19 NA NA
